title	count
European Year for Combating Poverty and Social Exclusion (A6-0173/2008 , Marie Panayotopoulos-Cassiotou) (vote)	4
European Year for Combating Poverty and Social Exclusion (continuation of debate)	64
European Year for Combating Poverty and Social Exclusion (debate)	10
European Year of Creativity and Innovation (2009) (debate)	50
European code of conduct on arms exports (debate)	22
European ports policy (debate)	54
European satellite navigation programmes (EGNOS and Galileo) (signature)	6
European satellite radionavigation programmes (EGNOS and Gallileo) (debate)	64
European statistics (debate)	16
European strategies on biological diversity (COP 9) and biosafety (COP-MOP 4) (debate)	60
Eurostars (A6-0064/2008 , Paul Rübig) (vote)	4
Eurostars (debate)	42
Evaluation and future development of FRONTEX EUROSUR	46
Evaluation and future development of FRONTEX EUROSUR (A6-0437/2008 , Javier Moreno Sánchez) (vote)	10
Evaluation of EU sanctions as part of the EU's actions and policies in the area of human rights (A6-0309/2008 , Hélène Flautre) (vote)	4
Evaluation of EU sanctions as part of the EU's actions and policies in the area of human rights (debate)	88
Evaluation of the Australia-EU PNR agreement (A6-0403/2008 , Sophia in 't Veld) (vote)	8
Evaluation of the Australia-EU PNR agreement – EU PNR (debate)	42
Evaluation of the Dublin system (continuation of debate)	12
Evaluation of the Dublin system (debate)	20
Exercise of implementing powers conferred on the Commission (A6-0107/2008 , Monica Frassoni) (vote)	4
Explanations of vote	9762
Explanations of vote (continuation)	2
Export and import of dangerous chemicals (debate)	32
Facility for rapid response to soaring food prices in developing countries (debate)	58
Farm structure surveys and the survey on agricultural production methods (A6-0061/2008 , Gábor Harangozó) (vote)	4
Fibromyalgia (written declaration): see Minutes	18
Financial year 2009 as amended by the Council (vote)	6
Fisheries and aquaculture in the context of ICZM in Europe (A6-0286/2008 , Ioannis Gklavakis) (vote)	4
Fishing activities of Community and third-country fishing vessels (debate)	24
"Follow-up after the review of the ""Lamfalussy Process"" (debate)"	30
Follow-up of the Monterrey Conference of 2002 on Financing for Development (short presentation)	10
Follow-up of the Paris Declaration of 2005 on Aid Effectiveness (debate)	64
Food enzymes (A6-0176/2008 , Avril Doyle) (vote)	4
Forced prostitution and trafficking in women for the purpose of sexual exploitation (debate)	46
Formal sitting - 2008, European Year of Intercultural Dialogue	6
Formal sitting - Celebration of the European Parliament's fiftieth anniversary	12
Formal sitting - Costa Rica	6
Formal sitting - Dalai Lama	6
Formal sitting - Ecumenical Patriarch Bartholomew	6
Formal sitting - Estonia	6
Formal sitting - Grand Mufti of Syria	6
Formal sitting - Ingrid Betancourt	14
Formal sitting - Sir Jonathan Sacks	6
Formal sitting - UN High Representative for the Alliance of Civilisations	6
